id,date,time,co_gt,no2_gt,temperature,humidity,created_at
2,10/03/2004,19.00.00,2.0,92.0,13.3,47.7,2026-01-28 02:46:49
3,10/03/2004,20.00.00,2.2,114.0,11.9,54.0,2026-01-28 02:46:49
4,10/03/2004,21.00.00,2.2,122.0,11.0,60.0,2026-01-28 02:46:49
5,10/03/2004,22.00.00,1.6,116.0,11.2,59.6,2026-01-28 02:46:49
6,10/03/2004,23.00.00,1.2,96.0,11.2,59.2,2026-01-28 02:46:49
7,11/03/2004,00.00.00,1.2,77.0,11.3,56.8,2026-01-28 02:46:49
8,11/03/2004,01.00.00,1.0,76.0,10.7,60.0,2026-01-28 02:46:49
9,11/03/2004,02.00.00,0.9,60.0,10.7,59.7,2026-01-28 02:46:49
10,11/03/2004,03.00.00,0.6,47.0,10.3,60.2,2026-01-28 02:46:49
11,11/03/2004,04.00.00,0.65,34.0,10.1,60.5,2026-01-28 02:46:49
12,11/03/2004,05.00.00,0.7,28.0,11.0,56.2,2026-01-28 02:46:49
13,11/03/2004,06.00.00,0.7,48.0,10.5,58.1,2026-01-28 02:46:49
14,11/03/2004,07.00.00,1.1,82.0,10.2,59.6,2026-01-28 02:46:49
15,11/03/2004,08.00.00,2.0,112.0,10.8,57.4,2026-01-28 02:46:49
16,11/03/2004,09.00.00,2.2,101.0,10.5,60.6,2026-01-28 02:46:49
17,11/03/2004,10.00.00,1.7,98.0,10.8,58.4,2026-01-28 02:46:49
18,11/03/2004,11.00.00,1.5,92.0,10.5,57.9,2026-01-28 02:46:49
19,11/03/2004,12.00.00,1.6,95.0,9.5,66.8,2026-01-28 02:46:49
20,11/03/2004,13.00.00,1.9,112.0,8.3,76.4,2026-01-28 02:46:49
21,11/03/2004,14.00.00,2.9,128.0,8.0,81.1,2026-01-28 02:46:49
22,11/03/2004,15.00.00,2.2,126.0,8.3,79.8,2026-01-28 02:46:49
23,11/03/2004,16.00.00,2.2,131.0,9.7,71.2,2026-01-28 02:46:49
24,11/03/2004,17.00.00,2.9,135.0,9.8,67.6,2026-01-28 02:46:49
25,11/03/2004,18.00.00,4.8,151.0,10.3,64.2,2026-01-28 02:46:49
26,11/03/2004,19.00.00,6.9,172.0,9.7,69.3,2026-01-28 02:46:49
27,11/03/2004,20.00.00,6.1,165.0,9.6,67.8,2026-01-28 02:46:49
28,11/03/2004,21.00.00,3.9,136.0,9.1,64.0,2026-01-28 02:46:49
29,11/03/2004,22.00.00,1.5,85.0,8.2,63.4,2026-01-28 02:46:49
30,11/03/2004,23.00.00,1.0,53.0,8.2,60.8,2026-01-28 02:46:49
31,12/03/2004,00.00.00,1.7,97.0,8.3,58.5,2026-01-28 02:46:49
32,12/03/2004,01.00.00,1.9,110.0,7.7,59.7,2026-01-28 02:46:49
33,12/03/2004,02.00.00,1.4,91.0,7.1,61.8,2026-01-28 02:46:49
34,12/03/2004,03.00.00,0.8,61.5,7.0,62.3,2026-01-28 02:46:49
35,12/03/2004,04.00.00,0.7,32.0,6.1,65.9,2026-01-28 02:46:49
36,12/03/2004,05.00.00,0.6,44.0,6.3,65.0,2026-01-28 02:46:49
37,12/03/2004,06.00.00,0.8,71.0,6.8,62.9,2026-01-28 02:46:49
38,12/03/2004,07.00.00,1.4,104.0,6.4,65.1,2026-01-28 02:46:49
39,12/03/2004,08.00.00,4.4,141.0,7.3,63.1,2026-01-28 02:46:49
40,12/03/2004,09.00.00,3.75,131.5,9.2,56.2,2026-01-28 02:46:49
41,12/03/2004,10.00.00,3.1,122.0,13.2,41.7,2026-01-28 02:46:49
42,12/03/2004,11.00.00,2.7,143.0,14.3,38.4,2026-01-28 02:46:49
43,12/03/2004,12.00.00,2.1,113.0,15.0,36.5,2026-01-28 02:46:49
44,12/03/2004,13.00.00,2.5,116.0,16.1,34.5,2026-01-28 02:46:49
45,12/03/2004,14.00.00,2.7,123.0,16.3,35.7,2026-01-28 02:46:49
46,12/03/2004,15.00.00,2.9,126.0,15.8,37.0,2026-01-28 02:46:49
47,12/03/2004,16.00.00,2.8,120.0,15.9,37.2,2026-01-28 02:46:49
48,12/03/2004,17.00.00,2.4,119.0,16.9,34.3,2026-01-28 02:46:49
49,12/03/2004,18.00.00,3.9,149.0,15.1,39.6,2026-01-28 02:46:49
50,12/03/2004,19.00.00,3.7,145.0,14.4,43.4,2026-01-28 02:46:49
51,12/03/2004,20.00.00,6.6,170.0,12.9,50.5,2026-01-28 02:46:49
52,12/03/2004,21.00.00,4.4,149.0,12.1,53.3,2026-01-28 02:46:49
53,12/03/2004,22.00.00,3.5,139.0,11.0,59.1,2026-01-28 02:46:49
54,12/03/2004,23.00.00,5.4,134.0,9.7,64.6,2026-01-28 02:46:49
55,13/03/2004,00.00.00,2.7,113.0,9.5,64.1,2026-01-28 02:46:49
56,13/03/2004,01.00.00,1.9,97.0,9.1,63.9,2026-01-28 02:46:49
57,13/03/2004,02.00.00,1.6,82.0,8.8,63.9,2026-01-28 02:46:49
58,13/03/2004,03.00.00,1.7,82.5,7.8,67.5,2026-01-28 02:46:49
59,13/03/2004,04.00.00,1.35,83.0,7.0,71.1,2026-01-28 02:46:49
60,13/03/2004,05.00.00,1.0,65.0,8.3,63.6,2026-01-28 02:46:49
61,13/03/2004,06.00.00,1.2,60.0,7.2,67.5,2026-01-28 02:46:49
62,13/03/2004,07.00.00,1.5,77.0,6.3,71.9,2026-01-28 02:46:49
63,13/03/2004,08.00.00,2.7,96.0,6.5,71.6,2026-01-28 02:46:49
64,13/03/2004,09.00.00,3.7,119.0,9.6,59.7,2026-01-28 02:46:49
65,13/03/2004,10.00.00,3.2,126.0,12.4,51.2,2026-01-28 02:46:49
66,13/03/2004,11.00.00,4.1,158.0,15.6,42.2,2026-01-28 02:46:49
67,13/03/2004,12.00.00,3.6,161.0,18.4,33.8,2026-01-28 02:46:49
